order_execution_id,order_id,transaction_date,tax_amount,settlement_amount,gross_amount,instrument,currency,instrument_id
9918efe6-7980-4336-864c-d7d50429d214,b263086d-0b39-4917-90d4-7d8a2e8b7f27,2023-04-19T00:00:00Z,-0.02,-50.02,-50.02,FR0000121972,EUR,4ee999d9-e40e-4ca6-90a5-e5b65da6098c
24c23f24-28dd-47dc-8db4-90e6f415b6dd,c1882a07-20fa-4fd3-9e23-0ee6b66121ee,2023-04-19T00:00:00Z,12,72,72,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
522958c2-0f80-4177-919a-5129d3b6f3dc,7acbe93d-4d71-460e-a259-0fd40a2e9cbc,2023-04-19T00:00:00Z,,-3,-3,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
8c1d19de-bbfe-4f61-b5c9-3eb1f3b33824,045a099d-f63d-4f89-bdec-c919b34b8431,2023-04-19T00:00:00Z,0,-3,-3,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
ebf249c6-0fff-41b8-8b55-72d4b802d448,3afc215d-71c6-431c-84a8-ddb1bd8c82d9,2023-04-19T00:00:00Z,0.8,4.8,4.8,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
52d9bb07-ba95-42d8-b73e-c6e59e48a922,f6d41298-fdab-4865-b55b-6f669af0557e,2023-04-19T00:00:00Z,0,-5,-5,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
e2341026-a885-4edb-8459-9dee838a013a,8d2d2728-c1ec-4240-b62c-78dbe2e32702,2023-04-19T00:00:00Z,1.2,7.2,7.2,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
064a2656-c925-44c3-a963-6beeeffe8219,be7f16da-cea7-4a87-955a-57f63a804a66,2023-04-19T00:00:00Z,0,-7,-7,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
07ac5aa7-c3b1-4f2a-895a-93b2aba69b77,0d690b2a-1515-489f-8fc1-9a44301127f1,2023-04-19T00:00:00Z,1.6,9.6,9.6,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
d1cfaab0-a728-4cae-88c5-9056a8e01463,09c90c97-dee8-4f86-b1e6-6aa78b471f2b,2023-04-19T00:00:00Z,0,-9,-9,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
e1caf31e-7638-4bfa-bcd4-a39590931821,909ff558-c52e-4ec4-a5db-b66362c9a1ef,2023-04-19T00:00:00Z,2,12,12,DE0005933931,EUR,d6a0d159-a200-4b07-b71b-64a2a06785c3
