transaction_id,transaction_type,tax_amount,tax_currency,tax_type,transaction_date,order_id
transaction_id,OrderExecution,4.34,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,ef787be6-aab0-4195-9488-62087f8f23ee
transaction_id,OrderExecution,0.23,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,ef787be6-aab0-4195-9488-62087f8f23ee
transaction_id,OrderExecution,0.01,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,0e7711cc-d90e-46ff-8a87-67bb331250ae
transaction_id,OrderExecution,12.56,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,0aa357ea-2ddd-4a0a-baac-0aa7370eab67
transaction_id,OrderExecution,0.42,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,b6808a00-a44e-4053-b6da-89e7cc482dd9
transaction_id,OrderExecution,1.20,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,67c201d9-9fc8-4e7a-8a8a-0700a7f7bb53
transaction_id,OrderExecution,0.01,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,c53ddae4-3392-447b-85a6-c27130f57770
transaction_id,OrderExecution,2.48,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,1bd404d5-4a0e-424c-8f59-b6e72bb67277
transaction_id,OrderExecution,0.07,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,010da25d-195d-4dca-a18a-2b7d4335465a
transaction_id,OrderExecution,0.13,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,4fca350b-281b-4493-800c-1ad99f92066f
transaction_id,OrderExecution,1.05,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,bdf8a5b7-9475-4d2b-9ca5-df0a529a042d
transaction_id,OrderExecution,11.72,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,26704ab0-66a2-43a3-b51f-1b7e2b4753d9
transaction_id,OrderExecution,26.01,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,e4751f03-5ee9-4f96-a712-4525574cb62d
transaction_id,OrderExecution,2.05,EUR,TAX_TYPE_SOLIDARITY_SURCHARGE,2024-10-29T00:00:00Z,fe6f3b80-9ec7-4b07-824f-4ce8156258d5
transaction_id,OrderExecution,37.38,EUR,TAX_TYPE_CAPITAL_GAINS_TAX,2024-10-29T00:00:00Z,fe6f3b80-9ec7-4b07-824f-4ce8156258d5
